Sample	 Source	 Position	 Absorbance	 Fraction.Number
477328	74775	40.91	0.073734	-100
477598	74787	40.95	0.072906	-100
477688	74791	40.99	0.07263	-100
477769	74790	41.03	0.072255	-100
478029	74807	41.07	0.071607	-100
477688	74779	41.11	0.072301	-100
477489	74799	41.15	0.073701	-100
477365	74798	41.18	0.074205	-100
477426	74825	41.22	0.074682	-100
477058	74789	41.26	0.075275	-100
476611	74777	41.3	0.076865	-100
476755	74859	41.34	0.078489	-100
476922	74904	41.38	0.079002	-100
476801	74938	41.42	0.08045	-100
476318	74929	41.46	0.082278	-100
475708	74915	41.5	0.084518	-100
474489	74802	41.54	0.086679	-100
474208	74810	41.57	0.08811	-100
473897	74817	41.61	0.089644	-100
473305	74812	41.65	0.092065	-100
472194	74810	41.69	0.096819	-100
471776	74808	41.73	0.098576	-100
470987	74780	41.77	0.101235	-100
470126	74751	41.81	0.104185	-100
469579	74764	41.85	0.106923	-100
468812	74789	41.89	0.110952	-100
468580	74832	41.93	0.113141	-100
467937	74798	41.97	0.11502	-100
467341	74837	42.01	0.118695	-100
466370	74842	42.05	0.123087	-100
465405	74819	42.08	0.126696	-100
464815	74813	42.13	0.129128	-100
464133	74818	42.16	0.132269	-100
463247	74806	42.2	0.13585	-100
462572	74830	42.24	0.13949	-100
461890	74816	42.28	0.142126	-100
461059	74789	42.32	0.145072	-100
460440	74802	42.36	0.148177	-100
459661	74815	42.4	0.151997	-100
458869	74799	42.44	0.155088	-100
458451	74799	42.48	0.156953	-100
457902	74797	42.51	0.15935	-100
457558	74835	42.56	0.161927	-100
456895	74809	42.59	0.164182	-100
456393	74822	42.63	0.166787	-100
456106	74833	42.67	0.168375	-100
455512	74815	42.71	0.170549	-100
454973	74815	42.75	0.172972	-100
454614	74806	42.79	0.174341	-100
454053	74802	42.83	0.176758	-100
453998	74808	42.87	0.17717	-100
453876	74831	42.91	0.178349	-100
453406	74802	42.95	0.179676	-100
453375	74818	42.98	0.180253	-100
452774	74786	43.02	0.182092	-100
